,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Hassan Whiteside,MIA,28,77,39,38,32.6,106.6,105.3,1.3,3.7,0.37,4.2,12.9,34.9,23.9,11.5,55.7,57.9,22.6,97.11,16.3
,James Johnson,MIA,30,76,40,36,27.4,104.9,102.3,2.6,21,1.61,21.1,3.5,16.3,9.9,13,53.5,56.4,21.9,98.7,12
,Josh McRoberts,MIA,30,22,6,16,17.3,100.1,109.4,-9.3,20,2.17,25.6,6.5,15.4,10.8,11.8,42.8,43.9,17.5,93.81,7.1
,Josh Richardson,MIA,23,53,23,30,30.5,104.4,103.3,1.2,12.8,2.15,18.6,2.3,9.5,5.7,8.6,46.7,49.3,16.8,97.52,6.9
,Justise Winslow,MIA,21,18,4,14,34.7,101.1,101.5,-0.4,15.3,2,19.1,4,12.2,8.1,9.6,37.1,39.9,20,97.53,5.9
,Luke Babbitt,MIA,28,68,35,33,15.7,104,102.2,1.8,4.9,1.44,10.3,1.3,13.2,7.3,7.2,55.7,56.3,13.3,97.22,5.4
,Rodney McGruder,MIA,25,78,40,38,25.2,105.3,105.6,-0.2,8.8,2.21,18.5,5.4,9.3,7.4,8.3,49.2,50.6,12.4,96.98,5.6
,Tyler Johnson,MIA,25,73,35,38,29.8,104,103.5,0.5,17,2.59,18.5,2.5,12.5,7.4,7.1,49,53.5,20.7,98.21,10.8
,Wayne Ellington,MIA,29,62,35,27,24.2,107.1,104.4,2.7,7,2.33,10.4,1.3,8.7,4.9,4.5,55,56.5,17.9,97.3,8.2
,Andrew Harrison,MEM,22,72,38,34,20.5,102.3,102.5,-0.3,20.9,2.33,27.2,1.7,9,5.3,11.7,38.5,47.7,16.4,94.76,5.3
,Brandan Wright,MEM,29,28,14,14,16,106.1,102.3,3.9,6,1.5,8.6,7.8,11.5,9.7,5.7,61.5,62.8,16.6,93.54,11.6
,Chandler Parsons,MEM,28,34,18,16,19.8,104.1,107.6,-3.6,12.2,2.29,17.2,1,14.1,7.3,7.5,39.4,43.6,18.4,94.04,5.6
,JaMychal Green,MEM,27,77,40,37,27.3,104.8,104.4,0.4,6.4,0.89,11.2,9.1,21.2,15,12.5,55.5,60.1,14.7,94.31,9.3
,James Ennis III,MEM,26,64,32,32,23.4,104.6,103.9,0.7,6.7,1.08,13,5.1,14.3,9.7,12,53.4,58.1,12.9,95.06,7
,Marc Gasol,MEM,32,74,40,34,34.2,106.5,105.1,1.4,24.6,2.04,18.7,2.7,19,10.6,9.2,50.3,55.4,26.7,94.43,15.1
,Mike Conley,MEM,29,69,35,34,33.2,108.6,105.5,3.1,32.9,2.78,24.6,1.5,10.8,6.1,8.9,54.5,60.4,26.3,94.64,16
,Toney Douglas,MEM,31,24,15,9,16.4,107.4,107.7,-0.3,21.4,2.67,27.1,3.5,15.7,9,10.2,39.7,45.1,16.5,96.28,7.3
,Tony Allen,MEM,35,71,36,35,27,105.6,104.4,1.2,8.3,0.98,11.5,9.5,13.9,11.6,11.8,47.3,49.3,18.1,93.85,8
,Troy Daniels,MEM,25,67,33,34,17.7,104.6,104.3,0.3,6.5,1.02,7.5,2,7.7,4.7,7.4,51.3,53.1,21,95.85,6.5
,Vince Carter,MEM,40,73,36,37,24.7,107.2,103.6,3.6,11.2,2.66,18.4,2.3,12.8,7.4,6.9,50.8,54.2,14.9,95.02,7.8
,Wayne Selden,MEM,22,14,6,8,16.9,98.4,105.8,-7.4,9,1.08,14,0.5,6.6,3.7,12.9,49.1,52.5,16.2,94.78,4.4
,Zach Randolph,MEM,35,73,38,35,24.5,104.1,105.2,-1.1,13.1,1.23,9.6,11.3,28,19.3,7.8,46,49,28.5,94.36,15.2
,Brandon Ingram,LAL,19,79,26,53,28.9,104.6,112.6,-8,10.5,1.43,15.6,2.8,12.8,7.6,10.9,44.2,47.4,16.9,100.45,5.5
,Corey Brewer,LAL,31,82,47,35,15.6,107.5,104.6,3,10.4,1.76,18.3,2.7,11.8,7.2,10.4,46.1,49.1,14.5,101.21,5.7
,D'Angelo Russell,LAL,21,63,21,42,28.7,104.7,113.4,-8.7,26.9,1.72,21.2,1.8,12,6.6,12.3,48.3,51.8,26.7,100.87,9.9
,David Nwaba,LAL,24,20,5,15,19.9,102.8,100.6,2.2,4.8,1.27,11.4,4.9,13.1,9,8.9,58.6,61.1,12,100.9,7.6
,Ivica Zubac,LAL,20,38,8,30,16,103.6,112.9,-9.3,7.8,1,9.4,7.2,21,14,9.4,52.9,54.7,20.4,102.85,10
,Jordan Clarkson,LAL,25,82,26,56,29.2,103,112,-8.9,14.3,1.3,14,2.2,9.3,5.7,10.8,50,52.6,23.2,101.34,8.4
,Julius Randle,LAL,22,74,24,50,28.8,103.1,113.3,-10.2,19.5,1.53,19.8,7.4,25.4,16.1,13,49.9,54.3,21.5,100.9,11.3
,Larry Nance Jr.,LAL,24,63,21,42,22.9,103.3,108.3,-5,9.6,1.71,17.5,8.9,20.4,14.4,10.2,54,56.7,13.4,101,10.1
,Luol Deng,LAL,32,56,18,38,26.5,102,108.4,-6.4,7.3,1.72,13,4.4,17.2,10.6,7.6,44.7,47,14.3,100.3,7.7
,Nick Young,LAL,32,60,19,41,25.9,105.2,112.1,-6.9,5.7,1.61,7.6,1.7,8.1,4.7,4.7,56.4,58.8,19.5,100.59,7.5
,Tarik Black,LAL,25,67,24,43,16.3,103.6,105.5,-1.9,5.2,0.67,8.9,13.8,20.2,16.9,13.2,51.2,56,15.4,100.72,8.5
,Timofey Mozgov,LAL,30,54,16,38,20.4,99.8,109,-9.2,6.1,0.6,9,9.7,16,12.7,15.1,51.5,55.3,17,99.38,7.2
,Austin Rivers,LAC,24,74,43,31,27.8,107.9,108,-0.1,15.5,1.77,18,1.1,7.6,4.4,10.1,51.8,54.5,20.3,98.18,6.9
,Blake Griffin,LAC,28,61,40,21,34,115.2,104.6,10.6,23.5,2.11,18.8,6.4,20.4,13.7,8.9,51.3,56.9,27.8,98.71,15.2
,Chris Paul,LAC,32,61,43,18,31.5,116.2,101.3,14.9,44.4,3.83,35,2.5,14.9,8.9,9.1,55.5,61.4,24.3,98.19,18.2
,DeAndre Jordan,LAC,28,81,51,30,31.7,113.4,103.7,9.7,5.4,0.83,9.8,13.6,34.3,24.3,11.8,71.4,67.3,15.3,98.43,15
,JJ Redick,LAC,33,78,50,28,28.2,114.6,105,9.7,7.4,1.12,9.3,0.6,7.8,4.4,8.3,55.8,59.9,21.7,98.78,8.9
,Jamal Crawford,LAC,37,82,51,31,26.3,106.7,108.4,-1.7,15.9,1.6,16.4,0.9,5.8,3.4,10.2,47.9,52.5,22.5,98.53,7.9
,Luc Mbah a Moute,LAC,30,80,49,31,22.3,112.3,102,10.3,2.9,0.85,7.8,2.9,7.5,5.3,9.2,56.2,58.1,11.7,98.35,5.6
,Marreese Speights,LAC,29,82,51,31,15.7,106,108.4,-2.4,8.5,0.94,8.8,7.7,24.5,16.1,9.3,53.9,58.4,23.9,97.43,11.4
,Raymond Felton,LAC,33,80,50,30,21.2,104.6,108.7,-4.1,17.2,2.3,23.4,2.1,11.8,7,10.2,47.5,49.6,16.6,97.95,7.8
,CJ Miles,IND,30,76,39,37,23.4,106.9,106,0.8,4.1,1.2,6.2,1.9,12.9,7.3,5.2,56.5,59.2,18.3,97.81,8.6
,Glenn Robinson III,IND,23,69,35,34,20.7,103.7,105.5,-1.9,4.8,1.27,10.3,4.6,14.4,9.7,8.1,54,56.4,12.9,98.72,8.1
,Jeff Teague,IND,29,82,42,40,32.4,108.1,106.8,1.2,35.9,2.96,32.8,1.4,12.3,7,11.1,49.2,57.4,22.1,98.98,13.1
,Lance Stephenson,IND,26,18,8,10,20.1,101.3,99.8,1.6,25.4,2.27,28,1.2,14.9,7.9,12.3,47.5,48.5,18.5,97.76,8.9
